date,close
2014-12-30,305.1298
2014-12-31,300.4713
2015-01-05,300.1802
2015-01-06,306.8767
2015-01-07,307.1679
2015-01-08,309.4971
2015-01-09,307.459
2015-01-12,302.8005
2015-01-13,303.3829
2015-01-14,302.2182
2015-01-15,304.8386
2015-01-16,304.2563
2015-01-19,303.3829
2015-01-20,302.2182
2015-01-21,301.6359
2015-01-22,300.7625
2015-01-23,300.7625
2015-01-26,296.104
2015-01-27,298.1421
2015-01-28,299.0155
2015-01-29,298.4332
2015-01-30,298.4332
2015-02-02,299.0155
2015-02-03,300.1802
2015-02-04,299.3067
2015-02-05,300.1802
2015-02-06,302.5094
2015-02-09,301.0536
2015-02-10,301.3448
2015-02-11,301.6359
2015-02-12,300.7625
2015-02-13,302.8005
2015-02-16,302.5094
2015-02-17,299.5978
2015-02-25,296.6863
2015-02-26,298.7244
2015-02-27,297.2686
2015-03-02,297.8509
2015-03-03,296.9775
2015-03-04,297.2686
2015-03-05,291.1544
2015-03-06,291.4455
2015-03-09,293.1925
2015-03-10,292.319
2015-03-11,292.6101
2015-03-12,292.9013
2015-03-13,293.1925
2015-03-16,291.7367
2015-03-17,289.9898
2015-03-18,286.2047
2015-03-19,285.3313
2015-03-20,284.1667
2015-03-23,280.964
2015-03-24,280.964
2015-03-25,277.7613
2015-03-26,275.432
2015-03-27,273.6851
2015-03-30,272.5205
2015-03-31,273.1028
2015-04-01,273.4519
2015-04-02,268.5628
2015-04-03,268.8527
2015-04-07,268.7941
2015-04-08,263.3262
2015-04-09,261.0238
2015-04-10,256.1315
2015-04-13,264.7651
2015-04-14,265.9162
2015-04-15,259.5849
2015-04-16,262.4628
2015-04-17,262.175
2015-04-20,257.1387
2015-04-21,258.8654
2015-04-22,261.8872
2015-04-23,259.5849
2015-04-24,266.9235
2015-04-27,272.3915
2015-04-28,268.3624
2015-04-29,260.7361
2015-04-30,262.8945
2015-05-04,261.7433
2015-05-05,267.9308
2015-05-06,268.938
2015-05-07,265.9162
2015-05-08,268.7941
2015-05-11,267.9308
2015-05-12,263.3262
2015-05-13,262.8945
2015-05-14,261.7433
2015-05-15,263.47
2015-05-18,262.8945
2015-05-19,261.5994
2015-05-20,259.5849
2015-05-21,262.0311
2015-05-22,262.6067
2015-05-25,262.175
2015-05-26,261.7433
2015-05-27,262.7506
2015-05-28,263.1823
2015-05-29,263.47
2015-06-01,265.6285
2015-06-02,266.204
